SFN,BSR_index,requested_bytes,allocated_bytes_pusch,allocated_bytes_grant,overlap_bytes,ratio_pusch,ratio_grant,bs_load,smoothed_ratio_pusch,smoothed_ratio_grant,smoothed_bs_load
40018,57,68201.0,0.0,1121.0,0.0,0.0,0.016436709139162183,0.19666666666666668,0.0,0.012043811674315626,0.19333333333333336
40023,57,68201.0,0.0,1119.0,0.0,0.0,0.016407384055952257,0.4233333333333333,0.0,0.013490515779338522,0.33044444444444443
40028,57,68201.0,0.0,2922.0,0.0,0.0,0.04284394656969839,0.0771349862258953,0.0,0.030832392486913683,0.14716988062442604
40149,58,79846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40154,58,79846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40159,58,79846.0,0.0,338.0,0.0,0.0,0.004233148811462064,0.0,0.0,0.0025398892868772386,0.0
40164,58,79846.0,0.0,809.0,0.0,0.0,0.010132004107907723,0.25666666666666665,0.0,0.006643622306272908,0.154
40169,58,79846.0,0.0,1914.0,0.0,0.0,0.023971144453072163,0.1823809523809524,0.0,0.016298040394425936,0.14365079365079364
40204,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40209,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40214,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40219,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40224,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40229,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40234,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40239,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40244,57,68201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40249,57,68201.0,0.0,1810.0,0.0,0.0,0.026539200304980866,0.13499999999999998,0.0,0.01592352018298852,0.08099999999999999
40279,56,58255.0,0.0,548.0,0.0,0.0,0.0094069178611278,0.51,0.0,0.0094069178611278,0.51
40284,56,58255.0,0.0,137.0,0.0,0.0,0.00235172946528195,0.21,0.0,0.00517380482362029,0.33
40289,56,58255.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0023517294652819504,0.22399999999999998
40294,56,58255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015678196435213,0.11377777777777778
40299,56,58255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031356392870426,0.04577777777777778
40304,56,58255.0,0.0,13732.0,0.0,0.0,0.23572225560037766,0.176878612716763,0.0,0.14143335336022658,0.12390494540783557
40477,54,42502.0,0.0,925.0,0.0,0.0,0.021763681709096042,0.35666666666666663,0.0,0.021763681709096042,0.35666666666666663
40482,53,36304.0,0.0,282.0,0.0,0.0,0.007767739092111062,0.3766666666666667,0.0,0.013366116138905055,0.3686666666666667
40487,53,36304.0,0.0,0.0,0.0,0.0,0.0,0.09000000000000001,0.0,0.005906284160241421,0.20066666666666672
40492,53,36304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039375227734942805,0.10977777777777778
40497,53,36304.0,0.0,2428.0,0.0,0.0,0.06687968267959453,0.12407407407407407,0.0,0.04116350815337152,0.13666666666666666
40533,52,31009.0,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,0.0,0.0,0.060000000000000005
40538,52,31009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024000000000000004
40543,52,31009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012000000000000002
40548,52,31009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008
40553,52,31009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40558,52,31009.0,0.0,1888.0,0.0,0.0,0.060885549356638397,0.0478494623655914,0.0,0.03653132961398304,0.02870967741935484
40589,51,26487.0,0.0,901.0,0.0,0.0,0.03401668743157021,0.6133333333333333,0.0,0.03401668743157021,0.6133333333333333
40594,51,26487.0,0.0,600.0,0.0,0.0,0.022652622041001245,0.35666666666666663,0.0,0.027198248197228832,0.45933333333333326
40599,50,22624.0,0.0,487.0,0.0,0.0,0.021525813295615277,0.3944444444444445,0.0,0.024249349871883458,0.4306666666666667
40605,50,22624.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.0,0.010426016369091564,0.24592592592592594
40610,50,22624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005890458044882203,0.11437037037037037
40642,48,16507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40647,48,16507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40655,48,16507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40664,47,14099.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40669,47,14099.0,0.0,97.0,0.0,0.0,0.0068799205617419675,0.0,0.0,0.004127952337045181,0.0
40675,47,14099.0,0.0,565.0,0.0,0.0,0.04007376409674445,0.16666666666666666,0.0,0.025420242570395064,0.09999999999999999
40680,47,14099.0,0.0,4950.0,0.0,0.0,0.35108872969714167,0.15113636363636365,0.0,0.21691372910608317,0.11290404040404041
40768,40,4677.0,0.0,475.0,0.0,0.0,0.10156082959161856,0.17333333333333334,0.0,0.10156082959161856,0.17333333333333334
40773,39,3995.0,0.0,144.0,0.0,0.0,0.036045056320400504,0.2916666666666667,0.0,0.062251365628887737,0.24433333333333335
40775,39,3995.0,0.0,645.0,0.0,0.0,0.16145181476846057,0.25666666666666665,0.0,0.12439226604348015,0.247
40780,38,3413.0,0.0,841.0,0.0,0.0,0.24641078230295926,0.22333333333333333,0.0,0.18772082947250618,0.23022222222222222
40785,38,3413.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.054546848298343886,0.2545
40790,36,2490.0,0.0,4405.0,0.0,0.0,1.7690763052208835,0.04670542635658915,0.0,1.105836548471712,0.13185658914728682
40962,37,2915.0,0.0,585.0,0.0,0.0,0.2006861063464837,0.17333333333333334,0.0,0.2006861063464837,0.17333333333333334
40967,32,1326.0,0.0,421.0,0.0,0.0,0.3174962292609351,0.2033333333333333,0.0,0.2707721800951546,0.19133333333333333
40972,30,967.0,0.0,404.0,0.0,0.0,0.41778697001034126,0.2533333333333333,0.0,0.3543086491276885,0.2273333333333333
40977,26,515.0,0.0,325030.0,0.0,0.0,631.1262135922331,0.07485649054142204,0.0,378.8005240627555,0.12891389432485323
51197,38,3413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51222,4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51242,29,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51247,29,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51252,33,1552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51257,35,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51470,36,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51475,35,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51482,28,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51536,39,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51544,39,3995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51549,38,3413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51554,36,2490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51559,34,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51564,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51569,26,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51596,28,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51604,27,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51609,28,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51617,31,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51625,35,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51633,31,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51638,27,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51708,25,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51718,29,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51726,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51734,35,2127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51739,34,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51748,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51753,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51791,29,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51800,28,706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51807,32,1326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51812,30,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51817,34,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51822,33,1552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
