SFN,supply_bytes_grant,supply_bytes_pusch,demand_bytes,ratio_grant,ratio_pusch,smoothed_ratio_grant,smoothed_ratio_pusch
198,157.0,113.0,2735.0,17.420382165605094,24.20353982300885,415.32409855547826,15.03027907806669
198,93.0,113.0,2735.0,29.408602150537636,24.20353982300885,416.72081615593095,16.559155868890382
199,97.0,,2735.0,28.195876288659793,,418.15684844487964,16.559155868890382
200,105.0,,137.0,1.3047619047619048,,418.1130990714461,16.559155868890382
200,125.0,,137.0,1.096,,418.0464237104772,16.559155868890382
201,113.0,9.0,150000.0,1327.4336283185842,16666.666666666668,487.84659284584785,2395.145943125716
202,75.0,157.0,150000.0,2000.0,955.4140127388536,593.0154377769676,2215.1794518273578
202,75.0,93.0,150000.0,2000.0,1612.9032258064517,616.8895560623718,2148.2598711583682
203,,97.0,150000.0,,1546.3917525773195,626.136173040812,2088.0730593002636
204,9.0,105.0,150000.0,16666.666666666668,1428.5714285714287,1502.7524342724578,2028.118365597642
204,9.0,125.0,150000.0,16666.666666666668,1200.0,2292.0663383404603,1959.1085017978385
205,,113.0,150000.0,,1327.4336283185842,2426.828784013149,1910.5181269148188
206,,75.0,150000.0,,2000.0,2576.6930830139704,2064.337484734177
206,,113.0,150000.0,,1327.4336283185842,2748.3209878946404,2166.42096780881
208,,9.0,150000.0,,16666.666666666668,2849.812942150073,3202.152803441514
209,,141.0,150000.0,,1063.8297872340424,3006.6592599454007,3059.5979356943494
212,,9.0,150000.0,,16666.666666666668,3006.6592599454007,4168.972538868953
213,,113.0,267.0,,2.3628318584070795,3231.89012420011,3908.5594321807935
214,,9.0,150000.0,,16666.666666666668,3523.9349388437045,4659.036328327022
215,,317.0,150000.0,,473.18611987381706,3873.819258416149,4685.44706833001
216,,9.0,150000.0,,16666.666666666668,4302.308022443987,5664.415487556108
220,157.0,,226.0,1.4394904458598725,,4299.20034336569,6016.928734289427
220,269.0,,226.0,0.8401486988847584,,4296.160818077937,6016.928734289427
221,,9.0,150000.0,,16666.666666666668,4833.017825099584,6643.3839067822055
224,,157.0,116.0,,0.7388535031847133,5523.292371542381,6274.348070488926
227,85.0,,116.0,1.3647058823529412,,5333.85395405149,5663.035211890236
230,309.0,,150000.0,485.43689320388347,,5117.48779593776,5957.261536837197
231,349.0,85.0,315.0,0.9025787965616046,3.7058823529411766,4831.902450051553,5856.686702871353
232,389.0,157.0,315.0,0.8097686375321337,2.0063694267515926,4228.015864874801,5760.162616424443
233,301.0,,150000.0,498.33887043189367,,2206.974890345455,6048.93536228131
234,373.0,,150000.0,402.1447721179625,,173.9096535268668,6395.287888158547
235,309.0,,150000.0,485.43689320388347,,208.52379126875755,6785.122831223159
235,261.0,,150000.0,574.7126436781609,,245.14267650969788,7183.883067158422
236,125.0,,150000.0,1200.0,,331.94788773608894,7716.287561598408
236,193.0,,150000.0,777.2020725388601,,369.0524031363199,6821.249651091581
237,277.0,,150000.0,541.5162454873646,,382.3188525479387,7460.962969297975
238,11.0,,150000.0,13636.363636363636,,1329.0363371062028,6310.250007126888
239,217.0,,315.0,1.4516129032258065,,1240.5306888260045,7211.376746450957
240,4.0,,315.0,78.75,,1167.9193957743792,5635.495093081671
241,177.0,,315.0,1.7796610169491525,,1099.3229407886479,6667.956887723242
244,9.0,4.0,518.0,57.55555555555556,129.5,1041.4469749423652,3360.5235543899093
245,325.0,,150000.0,461.53846153846155,,1067.008028891954,3360.5235543899093
248,,9.0,150000.0,,16666.666666666668,1129.7237865503698,5578.214073102703
250,177.0,,315.0,1.7796610169491525,,1067.0602240207354,3360.52355438991
252,,133.0,315.0,,2.3684210526315788,1067.0602240207354,3360.849467899798
253,,9.0,315.0,,35.0,1129.7481956759345,2806.5412232498315
254,97.0,,12.0,0.12371134020618557,,1101.2003614486591,2806.5412232498315
258,,97.0,12.0,,0.12371134020618557,1169.9689728644153,2805.94419474771
259,269.0,,12.0,0.04460966542750929,,1169.9211504286586,3366.7317598119016
260,201.0,,150000.0,746.2686567164179,,1185.4167620714413,3366.7317598119016
262,293.0,,150000.0,511.9453924914676,,1192.2793008447857,3366.7317598119016
263,533.0,,150000.0,281.42589118198873,,1179.528613218417,3366.7317598119016
264,113.0,,150000.0,1327.4336283185842,,1226.5736747584438,3366.7317598119016
266,,293.0,150000.0,,511.9453924914676,1228.3452530756733,2890.9340319251623
267,,533.0,150000.0,,281.42589118198873,1260.56976597116,2518.1471546761377
269,105.0,,150000.0,1428.5714285714287,,1323.9308504771645,2518.1471546761377
274,101.0,293.0,60.0,0.594059405940594,0.20477815699658702,349.94730926590046,2203.404357611245
