TTI	LCG_0	LCG_1	LCG_2	LCG_3	Num_RBs	TBS_Index	MCS_Index	Redund_Ver	PUSCH_TB_Size
2045	-	-	-	-	5	18	12	-	-
2047	-	-	-	-	6	16	10	-	-
2049	0	0	0	0	-	-	-	0	249
2051	0	0	0	0	-	-	-	0	241
2052	-	-	-	-	6	16	10	-	-
2056	0	0	0	0	-	-	-	0	241
2057	-	-	-	-	4	20	14	-	-
2061	0	0	0	0	-	-	-	0	233
2062	-	-	-	-	5	18	12	-	-
2063	-	-	-	-	6	16	10	-	-
2066	0	0	0	0	-	-	-	0	249
2067	0	0	0	0	5	17	11	1	241
2071	0	0	0	0	-	-	-	0	225
2072	-	-	-	-	5	18	12	-	-
2073	-	-	-	-	6	14	9	-	-
2076	0	0	0	0	-	-	-	0	249
2077	0	0	0	0	5	17	11	1	217
2081	0	0	0	0	-	-	-	0	225
2082	-	-	-	-	4	19	13	-	-
2083	-	-	-	-	6	17	11	-	-
2086	0	0	0	0	-	-	-	0	217
2087	-	-	-	-	3	23	17	1	269
2091	-	-	-	-	-	-	-	0	217
2092	-	-	-	-	3	25	19	-	-
2093	-	-	-	-	4	21	15	-	-
2096	-	-	-	-	-	-	-	0	233
2097	-	-	-	-	3	24	18	1	249
2101	-	-	-	-	4	21	30	0	225
2102	-	-	-	-	4	20	14	-	-
2103	-	-	-	-	5	17	11	-	-
2105	-	-	-	-	-	-	-	0	249
2106	-	-	-	-	-	-	-	0	233
2107	-	-	-	-	4	21	15	1	225
2111	-	-	-	-	-	-	-	0	249
2112	-	-	-	-	5	17	11	-	-
2116	-	-	-	-	-	-	-	0	225
2117	-	-	-	-	4	20	14	-	-
2120	-	-	-	-	5	17	11	-	-
2121	-	-	-	-	-	-	-	0	233
2122	-	-	-	-	5	17	11	-	-
2124	-	-	-	-	-	-	-	1	225
2126	-	-	-	-	-	-	-	0	225
2127	-	-	-	-	8	13	8	-	-
2129	-	-	-	-	-	-	-	0	233
2130	-	-	-	-	8	14	9	-	-
2131	-	-	-	-	-	-	-	0	253
2134	-	-	-	-	-	-	-	1	285
2136	-	-	-	-	-	-	-	0	241
2141	-	-	-	-	-	-	-	0	241
2146	-	-	-	-	-	-	-	0	249
2151	-	-	-	-	-	-	-	0	217
2156	-	-	-	-	-	-	-	0	217
2161	-	-	-	-	-	-	-	0	233
2163	-	-	-	-	-	-	-	1	249
2164	-	-	-	-	-	-	-	0	217
2166	-	-	-	-	-	-	-	0	225
2087	0	0	0	0	-	-	-	-	-
2091	0	0	0	0	-	-	-	-	-
2096	0	0	0	0	-	-	-	-	-
2097	0	0	0	0	-	-	-	-	-
2101	0	0	0	0	-	-	-	-	-
2106	0	0	0	0	-	-	-	-	-
2107	0	0	0	0	-	-	-	-	-
2111	0	0	0	0	-	-	-	-	-
2116	0	0	0	0	-	-	-	-	-
2121	0	0	0	0	-	-	-	-	-
2124	0	0	0	0	-	-	-	-	-
